Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.2987151221627E-15,-0.0233035568725306,-0.231785001998933,0,0,0,0.09918544881958,4.8781341255603E-05,-1.88973976974721E-20,1.2129757452682E-20,4.8781341255603E-05,-7.85654228281839E-21,8.57335991023193E-05,0,0,0,0,0,0,package://FinalFinalArmURDFFinal/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://FinalFinalArmURDFFinal/meshes/base_link.STL,,###Base Gearbox Assem-1/v9 Planet Shaft-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Base Rotate,0.0100482602416506,0.0170873028476482,3.46944695195361E-18,0,0,0,0.531592408431945,0.000988378329570473,6.80525670497541E-05,2.43477891755833E-19,0.00322600768841248,3.07317362008627E-19,0.00273918765916886,0,0,0,0,0,0,package://FinalFinalArmURDFFinal/meshes/Base Rotate.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FinalFinalArmURDFFinal/meshes/Base Rotate.STL,,shoulder_base-1,Origin_Base,,Base,revolute,0,-0.022804,-0.21968,1.5708,0,0,base_link,0,1,0,40,80,-3.14,3.14,,,,,,,,
Shoulder_Link,-2.92395321527889E-05,0.226001825384413,-0.00376115640162351,0,0,0,1.37086136200923,0.0054590586491029,1.1944254726924E-06,3.17601848859018E-06,0.00166604473953045,9.38535505888849E-05,0.00583378214497253,0,0,0,0,0,0,package://FinalFinalArmURDFFinal/meshes/Shoulder_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FinalFinalArmURDFFinal/meshes/Shoulder_Link.STL,,shoulder_cable_joint-Josh_Computer-1;copy_of_carbon_fiber_arm_tube-1;elbow_joint1-1,Origin_Shoulder,Axis_Shoulder,Shoulder,revolute,0,0.06,0,-0.32086,0,0,Base Rotate,1,0,0,18,40,-3.14,3.14,,,,,,,,
elbow_Link,-0.000331174622931912,-1.40878932575195E-07,0.179155138842397,0,0,0,0.622119226848042,0.00237640884680691,6.13960700680789E-07,4.19617135487146E-06,0.00236788247798811,1.82545978536625E-10,0.000312295081080962,0,0,0,0,0,0,package://FinalFinalArmURDFFinal/meshes/elbow_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://FinalFinalArmURDFFinal/meshes/elbow_Link.STL,,elbow_joint_2-1;carbon_fiber_elbow_tube-1;CurrentWrist_servo-1/wrist base joint-2,Origin_El;bow,Axis_El;bow,El;bow,revolute,0,0.4815,-0.08,2.727,0,0,Shoulder_Link,1,0,0,18,20,-3.14,3.14,,,,,,,,
WristPitch_Link,0.0723754257856344,-0.00499996149357798,-0.00542862350219042,0,0,0,0.377758599601744,0.000686656193437916,9.88492454851322E-11,-2.10159233477603E-05,0.000371737740185608,2.23697101610809E-08,0.000544578264086093,0,0,0,0,0,0,package://FinalFinalArmURDFFinal/meshes/WristPitch_Link.STL,1,1,1,1,0,0,0,0,0,0,package://FinalFinalArmURDFFinal/meshes/WristPitch_Link.STL,,CurrentWrist_servo-1/servo house-2;CurrentWrist_servo-1/servo house2-1,Coordinate System8,Axis_wrist,wrist,revolute,0.005,0,0.44242,-3.1416,-0.8074,1.5708,elbow_Link,0.72249,0,-0.69138,8,20,-3.14,3.14,,,,,,,,
Roll_Link,-0.000309158536483958,-0.115592315615846,0.000513221290218469,0,0,0,0.722809991926461,0.00101542671157433,-1.4323551746632E-06,-2.66903960223117E-06,0.000551941788503863,-8.85565852582464E-05,0.00127033483768306,0,0,0,0,0,0,package://FinalFinalArmURDFFinal/meshes/Roll_Link.STL,1,1,1,1,0,0,0,0,0,0,package://FinalFinalArmURDFFinal/meshes/Roll_Link.STL,,CurrentWrist_servo-1/wrist_cap-1;Assem1-1/Base - jan-1;Assem1-1/Claw bar 1-1;Assem1-1/Claw bar 1 (Right)-1;Assem1-1/claw bar 2-5;Assem1-1/Claw bar 3-1;Assem1-1/pt 4-2;Assem1-1/pt 4-1;Assem1-1/claw bar 2-9;Assem1-1/Claw bar 3-2,Coordinate System9,Axis_roll,roll,revolute,0.11876,-0.004984,-3.3E-05,3.1416,0.15432,-1.5708,WristPitch_Link,-0.10627,0.72249,-0.68316,18,30,-3.14,3.14,,,,,,,,
Typing_Link,-0.0616704904039772,-0.095629864223593,-0.0956451496022169,0,0,0,0.0465963959162458,9.54047419263788E-05,1.93238865623003E-05,1.69411981370157E-05,4.10889313421834E-05,-2.26199454130513E-05,0.000106311791791853,0,0,0,0,0,0,package://FinalFinalArmURDFFinal/meshes/Typing_Link.STL,1,1,1,1,0,0,0,0,0,0,package://FinalFinalArmURDFFinal/meshes/Typing_Link.STL,,CurrentWrist_servo-1/wrist_rack_case-1,Origin_solenoid,Axis5,solenoid,prismatic,-0.046784,0.030841,0.14058,-0.18325,-0.49709,0.88442,Roll_Link,0.55704,-0.70553,-0.43811,5,30,-0.5,1,,,,,,,,
